Temperature (K),Hard Sphere B2 (Å^3/mol),Square Well B2 (Å^3/mol),Lennard Jones B2 (Å^3/mol)
584.8848848848849,4.938475327929691e+25,2.356367365284724e+25,1.2572284556643957e+25
585.5855855855856,4.938475327929691e+25,2.3597733007829094e+25,1.260080972981307e+25
586.2862862862862,4.938475327929691e+25,2.363170289455429e+25,1.2629254848106161e+25
586.986986986987,4.938475327929691e+25,2.366558366413876e+25,1.2657620221771883e+25
587.6876876876877,4.938475327929691e+25,2.3699375665868053e+25,1.2685906159487163e+25
588.3883883883884,4.938475327929691e+25,2.37330792472093e+25,1.2714112968366817e+25
589.089089089089,4.938475327929691e+25,2.3766694753822976e+25,1.2742240953973452e+25
589.7897897897898,4.938475327929691e+25,2.380022252957458e+25,1.2770290420327197e+25
590.4904904904904,4.938475327929691e+25,2.383366291654626e+25,1.2798261669915319e+25
591.1911911911911,4.938475327929691e+25,2.3867016255048396e+25,1.2826155003701846e+25
591.8918918918919,4.938475327929691e+25,2.3900282883630897e+25,1.285397072113708e+25
592.5925925925926,4.938475327929691e+25,2.393346313909466e+25,1.2881709120166958e+25
593.2932932932933,4.938475327929691e+25,2.396655735650277e+25,1.2909370497242559e+25
593.993993993994,4.938475327929691e+25,2.3999565869191697e+25,1.293695514732927e+25
594.6946946946947,4.938475327929691e+25,2.4032489008782368e+25,1.296446336391615e+25
595.3953953953953,4.938475327929691e+25,2.406532710519114e+25,1.2991895439025037e+25
596.0960960960961,4.938475327929691e+25,2.4098080486640743e+25,1.3019251663219483e+25
596.7967967967968,4.938475327929691e+25,2.4130749479671114e+25,1.3046532325614218e+25
597.4974974974975,4.938475327929691e+25,2.416333440915011e+25,1.3073737713883498e+25
598.1981981981982,4.938475327929691e+25,2.4195835598284243e+25,1.3100868114270632e+25
598.8988988988989,4.938475327929691e+25,2.4228253368629167e+25,1.3127923811596287e+25
599.5995995995995,4.938475327929691e+25,2.426058804010025e+25,1.315490508926762e+25
600.3003003003003,4.938475327929691e+25,2.429283993098299e+25,1.3181812229286668e+25
601.001001001001,4.938475327929691e+25,2.432500935794332e+25,1.3208645512259395e+25
601.7017017017017,4.938475327929691e+25,2.4357096636037874e+25,1.3235405217403864e+25
602.4024024024025,4.938475327929691e+25,2.4389102078724293e+25,1.3262091622558862e+25
603.1031031031031,4.938475327929691e+25,2.4421025997871156e+25,1.328870500419254e+25
603.8038038038037,4.938475327929691e+25,2.445286870376814e+25,1.3315245637410542e+25
604.5045045045044,4.938475327929691e+25,2.4484630505135927e+25,1.3341713795964497e+25
605.2052052052052,4.938475327929691e+25,2.4516311709136097e+25,1.3368109752260163e+25
605.9059059059059,4.938475327929691e+25,2.4547912621380964e+25,1.3394433777365742e+25
606.6066066066066,4.938475327929691e+25,2.4579433545943216e+25,1.3420686141019865e+25
607.3073073073073,4.938475327929691e+25,2.461087478536574e+25,1.344686711164e+25
608.008008008008,4.938475327929691e+25,2.4642236640671043e+25,1.3472976956330061e+25
608.7087087087086,4.938475327929691e+25,2.4673519411370856e+25,1.349901594088867e+25
609.4094094094094,4.938475327929691e+25,2.4704723395475615e+25,1.3524984329817008e+25
610.1101101101101,4.938475327929691e+25,2.473584888950375e+25,1.355088238632648e+25
610.8108108108108,4.938475327929691e+25,2.4766896188490983e+25,1.357671037234682e+25
611.5115115115116,4.938475327929691e+25,2.479786558599971e+25,1.3602468548533635e+25
612.2122122122122,4.938475327929691e+25,2.4828757374127986e+25,1.3628157174276048e+25
612.9129129129129,4.938475327929691e+25,2.4859571843518737e+25,1.365377650770451e+25
613.6136136136136,4.938475327929691e+25,2.489030928336874e+25,1.367932680569826e+25
614.3143143143143,4.938475327929691e+25,2.4920969981437648e+25,1.3704808323892708e+25
615.015015015015,4.938475327929691e+25,2.495155422405682e+25,1.373022131668736e+25
615.7157157157156,4.938475327929691e+25,2.4982062296138126e+25,1.375556603725253e+25
616.4164164164164,4.938475327929691e+25,2.5012494481182876e+25,1.3780842737537307e+25
617.1171171171171,4.938475327929691e+25,2.5042851061290314e+25,1.3806051668276667e+25
617.8178178178179,4.938475327929691e+25,2.50731323171664e+25,1.3831193078998585e+25
618.5185185185185,4.938475327929691e+25,2.510333852813235e+25,1.3856267218031403e+25
619.2192192192192,4.938475327929691e+25,2.513346997213307e+25,1.388127433251085e+25
619.91991991992,4.938475327929691e+25,2.5163526925745736e+25,1.3906214668387406e+25
620.6206206206206,4.938475327929691e+25,2.519350966418809e+25,1.3931088470432938e+25
621.3213213213213,4.938475327929691e+25,2.522341846132675e+25,1.395589598224808e+25
622.022022022022,4.938475327929691e+25,2.5253253589685604e+25,1.3980637446268949e+25
622.7227227227227,4.938475327929691e+25,2.5283015320453786e+25,1.4005313103774146e+25
623.4234234234234,4.938475327929691e+25,2.5312703923494047e+25,1.4029923194891524e+25
624.1241241241241,4.938475327929691e+25,2.534231966735074e+25,1.4054467958605177e+25
624.8248248248248,4.938475327929691e+25,2.5371862819257805e+25,1.407894763276198e+25
625.5255255255255,4.938475327929691e+25,2.5401333645146826e+25,1.4103362454078356e+25
626.2262262262262,4.938475327929691e+25,2.5430732409654847e+25,1.4127712658147048e+25
626.9269269269269,4.938475327929691e+25,2.54600593761323e+25,1.415199847944358e+25
627.6276276276276,4.938475327929691e+25,2.5489314806650777e+25,1.417622015133291e+25
628.3283283283283,4.938475327929691e+25,2.5518498962010737e+25,1.4200377906075914e+25
629.0290290290291,4.938475327929691e+25,2.5547612101749186e+25,1.422447197483589e+25
629.7297297297297,4.938475327929691e+25,2.5576654484147344e+25,1.424850258768502e+25
630.4304304304304,4.938475327929691e+25,2.560562636623827e+25,1.427246997361059e+25
631.1311311311312,4.938475327929691e+25,2.563452800381418e+25,1.4296374360521555e+25
631.8318318318318,4.938475327929691e+25,2.5663359651434152e+25,1.432021597525475e+25
632.5325325325325,4.938475327929691e+25,2.5692121562431338e+25,1.4343995043580949e+25
633.2332332332332,4.938475327929691e+25,2.5720813988920406e+25,1.436771179021139e+25
633.9339339339339,4.938475327929691e+25,2.5749437181804884e+25,1.4391366438803826e+25
634.6346346346346,4.938475327929691e+25,2.5777991390784332e+25,1.4414959211968424e+25
635.3353353353353,4.938475327929691e+25,2.5806476864361598e+25,1.4438490331274265e+25
636.036036036036,4.938475327929691e+25,2.583489384984987e+25,1.4461960017254933e+25
636.7367367367367,4.938475327929691e+25,2.586324259337987e+25,1.4485368489414838e+25
637.4374374374374,4.938475327929691e+25,2.589152333990693e+25,1.4508715966235077e+25
638.1381381381382,4.938475327929691e+25,2.591973633321783e+25,1.4532002665179307e+25
638.8388388388388,4.938475327929691e+25,2.5947881815937905e+25,1.4555228802699568e+25
639.5395395395395,4.938475327929691e+25,2.5975960029537833e+25,1.4578394594242288e+25
640.2402402402403,4.938475327929691e+25,2.6003971214340554e+25,1.4601500254253893e+25
640.9409409409409,4.938475327929691e+25,2.6031915609528016e+25,1.4624545996186664e+25
641.6416416416416,4.938475327929691e+25,2.60597934531479e+25,1.4647532032504419e+25
642.3423423423424,4.938475327929691e+25,2.6087604982120487e+25,1.4670458574688243e+25
643.043043043043,4.938475327929691e+25,2.6115350432245074e+25,1.4693325833241886e+25
643.7437437437437,4.938475327929691e+25,2.614303003820676e+25,1.4716134017697795e+25
644.4444444444445,4.938475327929691e+25,2.617064403358292e+25,1.47388833366222e+25
645.1451451451451,4.938475327929691e+25,2.619819265084978e+25,1.4761573997620986e+25
645.8458458458458,4.938475327929691e+25,2.6225676121388845e+25,1.4784206207344935e+25
646.5465465465466,4.938475327929691e+25,2.625309467549325e+25,1.4806780171495314e+25
647.2472472472472,4.938475327929691e+25,2.628044854237438e+25,1.4829296094829252e+25
647.9479479479479,4.938475327929691e+25,2.6307737950167904e+25,1.4851754181165125e+25
648.6486486486486,4.938475327929691e+25,2.633496312594026e+25,1.4874154633387707e+25
649.3493493493494,4.938475327929691e+25,2.636212429569485e+25,1.4896497653453812e+25
650.05005005005,4.938475327929691e+25,2.63892216843782e+25,1.4918783442397297e+25
650.7507507507507,4.938475327929691e+25,2.6416255515886214e+25,1.4941012200334306e+25
651.4514514514515,4.938475327929691e+25,2.6443226013070164e+25,1.4963184126468527e+25
652.1521521521521,4.938475327929691e+25,2.6470133397742846e+25,1.4985299419096398e+25
652.8528528528528,4.938475327929691e+25,2.649697789068467e+25,1.5007358275612092e+25
653.5535535535536,4.938475327929691e+25,2.652375971164943e+25,1.502936089251268e+25
654.2542542542542,4.938475327929691e+25,2.6550479079370524e+25,1.5051307465403236e+25
654.9549549549549,4.938475327929691e+25,2.6577136211566696e+25,1.507319818900168e+25
655.6556556556557,4.938475327929691e+25,2.6603731324947877e+25,1.5095033257143978e+25
656.3563563563563,4.938475327929691e+25,2.663026463522109e+25,1.5116812862788953e+25
657.057057057057,4.938475327929691e+25,2.665673635709628e+25,1.5138537198023227e+25
657.7577577577578,4.938475327929691e+25,2.6683146704291942e+25,1.5160206454066102e+25
658.4584584584584,4.938475327929691e+25,2.670949588954084e+25,1.518182082127457e+25
659.1591591591591,4.938475327929691e+25,2.6735784124595734e+25,1.5203380489147714e+25
659.8598598598599,4.938475327929691e+25,2.6762011620235045e+25,1.522488564633204e+25
660.5605605605606,4.938475327929691e+25,2.6788178586268246e+25,1.5246336480625865e+25
661.2612612612612,4.938475327929691e+25,2.681428523154166e+25,1.5267733178984097e+25
661.961961961962,4.938475327929691e+25,2.6840331763943753e+25,1.5289075927522934e+25
662.6626626626627,4.938475327929691e+25,2.686631839041084e+25,1.5310364911524828e+25
663.3633633633633,4.938475327929691e+25,2.6892245316932246e+25,1.5331600315442507e+25
664.064064064064,4.938475327929691e+25,2.691811274855597e+25,1.5352782322904107e+25
664.7647647647648,4.938475327929691e+25,2.6943920889393848e+25,1.5373911116717557e+25
665.4654654654654,4.938475327929691e+25,2.696966994262698e+25,1.5394986878874995e+25
666.1661661661661,4.938475327929691e+25,2.6995360110511e+25,1.5416009790557525e+25
666.8668668668669,4.938475327929691e+25,2.7020991594381347e+25,1.5436980032139423e+25
667.5675675675675,4.938475327929691e+25,2.7046564594658427e+25,1.5457897783192924e+25
668.2682682682682,4.938475327929691e+25,2.707207931085285e+25,1.5478763222492264e+25
668.968968968969,4.938475327929691e+25,2.7097535941570557e+25,1.5499576528018233e+25
669.6696696696697,4.938475327929691e+25,2.7122934684517943e+25,1.5520337876962808e+25
670.3703703703703,4.938475327929691e+25,2.714827573650692e+25,1.5541047445732957e+25
671.0710710710711,4.938475327929691e+25,2.717355929345995e+25,1.5561705409955435e+25
671.7717717717718,4.938475327929691e+25,2.7198785550415102e+25,1.5582311944480673e+25
672.4724724724724,4.938475327929691e+25,2.722395470153097e+25,1.560286722338725e+25
673.1731731731732,4.938475327929691e+25,2.7249066940091677e+25,1.5623371419986215e+25
673.8738738738739,4.938475327929691e+25,2.7274122458511703e+25,1.5643824706824927e+25
674.5745745745745,4.938475327929691e+25,2.729912144834086e+25,1.5664227255691524e+25
675.2752752752752,4.938475327929691e+25,2.7324064100269015e+25,1.568457923761897e+25
675.975975975976,4.938475327929691e+25,2.7348950604131046e+25,1.5704880822889171e+25
676.6766766766766,4.938475327929691e+25,2.737378114891149e+25,1.5725132181037002e+25
677.3773773773773,4.938475327929691e+25,2.7398555922749354e+25,1.5745333480854486e+25
678.0780780780781,4.938475327929691e+25,2.74232751129429e+25,1.5765484890394617e+25
678.7787787787787,4.938475327929691e+25,2.744793890595411e+25,1.578558657697568e+25
679.4794794794794,4.938475327929691e+25,2.747254748741357e+25,1.5805638707184973e+25
680.1801801801802,4.938475327929691e+25,2.749710104212495e+25,1.5825641446882779e+25
680.8808808808809,4.938475327929691e+25,2.752159975406972e+25,1.5845594961206572e+25
681.5815815815815,4.938475327929691e+25,2.754604380641154e+25,1.5865499414574482e+25
682.2822822822823,4.938475327929691e+25,2.7570433381500956e+25,1.5885354970689444e+25
682.982982982983,4.938475327929691e+25,2.7594768660879775e+25,1.590516179254313e+25
683.6836836836836,4.938475327929691e+25,2.7619049825285614e+25,1.592492004241956e+25
684.3843843843844,4.938475327929691e+25,2.7643277054656335e+25,1.594462988189903e+25
685.0850850850851,4.938475327929691e+25,2.7667450528134368e+25,1.5964291471861827e+25
685.7857857857857,4.938475327929691e+25,2.7691570424071234e+25,1.598390497249211e+25
686.4864864864865,4.938475327929691e+25,2.7715636920031784e+25,1.600347054328152e+25
687.1871871871872,4.938475327929691e+25,2.7739650192798597e+25,1.6022988343032835e+25
687.8878878878878,4.938475327929691e+25,2.77636104183762e+25,1.604245852986384e+25
